upper_wn,lower_wn
Grimselsee,Gelmersee
Retenue de Le Pontet,Retenue de Jougnenaz
Stausee Wimmis / Port  (AGB Simmenporte),Ausgleichsweiher Spiezmoos
Oberstockensee,Hinterstockensee
Totensee,Grimselsee
Madrischer Rheinstau,Lago di Lei
Lai da Curnera,Lai da Nalps
Lago Sfundau,Lago die Cavagnoli
Lago del Zött,Lago di Robièi (Robiei)
Engstlensee,Ausgleichsbecken Teuflaui
Ober Meretschisee,Unter Meretschisee
Ausgleichsbecken Zervreila,Ausgleichsbecken Wanna
Lago Cadagno,Lago Ritom
Lac de Godey (Bassin de compensation),AGB Godey
Lago die Cavagnoli,Griessee
Ausgleichsbecken Peccia,Virtual_wn_211
